item_id,order_id,product_id,product_name,brand,category,size,quantity,unit_price,discount_pct,discount_amount,line_total
I00001,O00001,P0086,New Balance Sandals Classic,New Balance,Sandals,42,2,143.9,0,0.00,287.8
I00002,O00002,P0129,Timberland Running Classic,Timberland,Running,40,3,124.84,0,0.00,374.52
I00003,O00002,P0071,Reebok Boots Classic,Reebok,Boots,36,2,246.89,0,0.00,493.78
I00004,O00002,P0016,Nike Boots Classic,Nike,Boots,40,3,242.75,0,0.00,728.25
I00005,O00003,P0174,Clarks Sports Pro,Clarks,Sports,42,1,207.55,0.1,20.76,186.8
I00006,O00003,P0157,Skechers Sandals Pro,Skechers,Sandals,45,1,256.94,0.1,25.69,231.25
I00007,O00003,P0161,Skechers Boots Pro,Skechers,Boots,42,1,161.57,0.1,16.16,145.41
I00008,O00003,P0176,Clarks Sandals Classic,Clarks,Sandals,45,2,242.24,0.1,24.22,436.04
I00009,O00004,P0176,Clarks Sandals Classic,Clarks,Sandals,40,1,242.24,0.1,24.22,218.02
I00010,O00004,P0052,Puma Boots Classic,Puma,Boots,44,3,135.35,0.1,13.54,365.43
I00011,O00005,P0018,Nike Boots Classic,Nike,Boots,41,1,83.62,0,0.00,83.62
I00012,O00005,P0143,Timberland Boots Classic,Timberland,Boots,36,1,198.02,0,0.00,198.02
I00013,O00005,P0137,Timberland Sports Classic,Timberland,Sports,42,2,152.46,0,0.00,304.92
I00014,O00005,P0031,Adidas Sandals Classic,Adidas,Sandals,40,2,137.65,0,0.00,275.3
I00015,O00006,P0048,Puma Sports Classic,Puma,Sports,40,3,161.47,0,0.00,484.41
I00016,O00006,P0007,Nike Formal Classic,Nike,Formal,45,3,186.68,0,0.00,560.04
I00017,O00006,P0157,Skechers Sandals Pro,Skechers,Sandals,39,3,256.94,0,0.00,770.82
I00018,O00007,P0129,Timberland Running Classic,Timberland,Running,43,3,124.84,0,0.00,374.52
I00019,O00008,P0042,Puma Casual Classic,Puma,Casual,36,1,49.88,0,0.00,49.88
I00020,O00008,P0050,Puma Sandals Classic,Puma,Sandals,36,2,174.83,0,0.00,349.66
I00021,O00009,P0113,Converse Casual Classic,Converse,Casual,41,2,168.62,0,0.00,337.24
I00022,O00009,P0158,Skechers Sandals Pro,Skechers,Sandals,39,2,148.87,0,0.00,297.74
I00023,O00010,P0147,Skechers Running Classic,Skechers,Running,44,3,75.81,0.1,7.58,204.69
I00024,O00011,P0011,Nike Sports Pro,Nike,Sports,44,1,156.57,0.2,31.31,125.26
I00025,O00012,P0102,Vans Sports Classic,Vans,Sports,42,1,65.96,0.05,3.30,62.66
I00026,O00012,P0078,New Balance Casual Pro,New Balance,Casual,45,2,201.57,0.05,10.08,382.98
I00027,O00012,P0074,New Balance Running Pro,New Balance,Running,44,1,274.18,0.05,13.71,260.47
I00028,O00012,P0119,Converse Sports Classic,Converse,Sports,43,1,206.66,0.05,10.33,196.33
I00029,O00013,P0140,Timberland Sandals Classic,Timberland,Sandals,42,1,188.63,0.15,28.29,160.34
I00030,O00014,P0052,Puma Boots Classic,Puma,Boots,37,2,135.35,0.15,20.30,230.1
I00031,O00015,P0116,Converse Formal Pro,Converse,Formal,37,2,48.53,0.15,7.28,82.5
I00032,O00015,P0163,Clarks Running Classic,Clarks,Running,42,3,291.91,0.15,43.79,744.36
I00033,O00016,P0044,Puma Formal Classic,Puma,Formal,38,3,85.9,0,0.00,257.7
I00034,O00016,P0086,New Balance Sandals Classic,New Balance,Sandals,38,1,143.9,0,0.00,143.9
I00035,O00017,P0115,Converse Formal Pro,Converse,Formal,38,2,139.28,0.15,20.89,236.78
I00036,O00018,P0118,Converse Sports Pro,Converse,Sports,44,2,199.3,0,0.00,398.6
I00037,O00018,P0128,Timberland Running Classic,Timberland,Running,45,1,42.43,0,0.00,42.43
I00038,O00019,P0154,Skechers Sports Pro,Skechers,Sports,45,2,170.08,0,0.00,340.16
I00039,O00019,P0002,Nike Running Classic,Nike,Running,44,3,108.24,0,0.00,324.72
I00040,O00019,P0063,Reebok Formal Classic,Reebok,Formal,36,1,242.1,0,0.00,242.1
I00041,O00019,P0141,Timberland Sandals Pro,Timberland,Sandals,38,1,160.21,0,0.00,160.21
I00042,O00020,P0148,Skechers Casual Classic,Skechers,Casual,37,2,72.04,0.15,10.81,122.46
I00043,O00020,P0155,Skechers Sports Pro,Skechers,Sports,37,1,180.37,0.15,27.06,153.31
I00044,O00020,P0077,New Balance Casual Pro,New Balance,Casual,38,2,101.26,0.15,15.19,172.14
I00045,O00021,P0024,Adidas Casual Pro,Adidas,Casual,41,2,117.98,0,0.00,235.96
I00046,O00021,P0077,New Balance Casual Pro,New Balance,Casual,37,2,101.26,0,0.00,202.52
I00047,O00022,P0178,Clarks Boots Pro,Clarks,Boots,41,2,94.64,0,0.00,189.28
I00048,O00023,P0147,Skechers Running Classic,Skechers,Running,37,3,75.81,0,0.00,227.43
I00049,O00023,P0162,Skechers Boots Pro,Skechers,Boots,45,2,201.91,0,0.00,403.82
I00050,O00024,P0135,Timberland Formal Classic,Timberland,Formal,38,2,163.29,0,0.00,326.58
I00051,O00024,P0148,Skechers Casual Classic,Skechers,Casual,45,3,72.04,0,0.00,216.12
I00052,O00024,P0160,Skechers Boots Classic,Skechers,Boots,44,2,189.44,0,0.00,378.88
I00053,O00025,P0075,New Balance Running Classic,New Balance,Running,43,1,230.76,0.15,34.61,196.15
I00054,O00025,P0050,Puma Sandals Classic,Puma,Sandals,37,3,174.83,0.15,26.22,445.83
I00055,O00025,P0001,Nike Running Classic,Nike,Running,39,3,128.64,0.15,19.30,328.02
I00056,O00025,P0031,Adidas Sandals Classic,Adidas,Sandals,42,3,137.65,0.15,20.65,351
I00057,O00026,P0073,New Balance Running Pro,New Balance,Running,40,2,173.47,0.15,26.02,294.9
I00058,O00026,P0066,Reebok Sports Pro,Reebok,Sports,44,3,120.88,0.15,18.13,308.25
I00059,O00026,P0018,Nike Boots Classic,Nike,Boots,36,2,83.62,0.15,12.54,142.16
I00060,O00027,P0008,Nike Formal Pro,Nike,Formal,41,2,107,0.1,10.70,192.6
I00061,O00027,P0045,Puma Formal Pro,Puma,Formal,43,3,233.45,0.1,23.35,630.33
I00062,O00027,P0050,Puma Sandals Classic,Puma,Sandals,36,2,174.83,0.1,17.48,314.7
I00063,O00028,P0106,Vans Boots Pro,Vans,Boots,40,3,101.39,0.05,5.07,288.96
I00064,O00028,P0015,Nike Sandals Classic,Nike,Sandals,41,3,243.44,0.05,12.17,693.81
I00065,O00029,P0091,Vans Running Pro,Vans,Running,38,1,87.71,0.2,17.54,70.17
I00066,O00030,P0048,Puma Sports Classic,Puma,Sports,41,3,161.47,0.05,8.07,460.2
I00067,O00030,P0153,Skechers Formal Classic,Skechers,Formal,36,3,130.96,0.05,6.55,373.23
I00068,O00030,P0030,Adidas Sports Pro,Adidas,Sports,42,2,169.08,0.05,8.45,321.26
I00069,O00030,P0079,New Balance Formal Classic,New Balance,Formal,43,1,49.37,0.05,2.47,46.9
I00070,O00031,P0029,Adidas Sports Pro,Adidas,Sports,37,1,218.62,0,0.00,218.62
I00071,O00031,P0096,Vans Casual Classic,Vans,Casual,44,2,68.69,0,0.00,137.38
I00072,O00031,P0010,Nike Sports Pro,Nike,Sports,43,1,198.22,0,0.00,198.22
I00073,O00032,P0135,Timberland Formal Classic,Timberland,Formal,38,2,163.29,0.15,24.49,277.6
I00074,O00032,P0080,New Balance Formal Pro,New Balance,Formal,44,1,197.43,0.15,29.61,167.82
I00075,O00033,P0134,Timberland Formal Classic,Timberland,Formal,40,1,132.85,0.15,19.93,112.92
I00076,O00033,P0030,Adidas Sports Pro,Adidas,Sports,45,1,169.08,0.15,25.36,143.72
I00077,O00034,P0169,Clarks Formal Classic,Clarks,Formal,39,2,104.37,0.2,20.87,167
I00078,O00034,P0080,New Balance Formal Pro,New Balance,Formal,39,2,197.43,0.2,39.49,315.88
I00079,O00034,P0006,Nike Casual Pro,Nike,Casual,40,1,277.39,0.2,55.48,221.91
I00080,O00034,P0148,Skechers Casual Classic,Skechers,Casual,44,2,72.04,0.2,14.41,115.26
I00081,O00035,P0030,Adidas Sports Pro,Adidas,Sports,45,1,169.08,0,0.00,169.08
I00082,O00036,P0082,New Balance Sports Classic,New Balance,Sports,38,2,231.91,0.1,23.19,417.44
I00083,O00037,P0157,Skechers Sandals Pro,Skechers,Sandals,36,2,256.94,0,0.00,513.88
I00084,O00037,P0087,New Balance Sandals Pro,New Balance,Sandals,36,1,143.9,0,0.00,143.9
I00085,O00037,P0139,Timberland Sandals Pro,Timberland,Sandals,36,2,289.39,0,0.00,578.78
I00086,O00038,P0153,Skechers Formal Classic,Skechers,Formal,43,3,130.96,0,0.00,392.88
I00087,O00039,P0120,Converse Sports Pro,Converse,Sports,43,1,206.17,0.2,41.23,164.94
I00088,O00039,P0146,Skechers Running Pro,Skechers,Running,43,1,223.18,0.2,44.64,178.54
I00089,O00039,P0034,Adidas Boots Classic,Adidas,Boots,43,2,154.8,0.2,30.96,247.68
I00090,O00040,P0101,Vans Sports Classic,Vans,Sports,41,3,226.05,0,0.00,678.15
I00091,O00040,P0047,Puma Sports Pro,Puma,Sports,43,2,119.91,0,0.00,239.82
I00092,O00041,P0044,Puma Formal Classic,Puma,Formal,38,3,85.9,0.05,4.30,244.83
I00093,O00041,P0073,New Balance Running Pro,New Balance,Running,37,3,173.47,0.05,8.67,494.4
I00094,O00041,P0090,New Balance Boots Pro,New Balance,Boots,37,2,156.65,0.05,7.83,297.64
I00095,O00041,P0155,Skechers Sports Pro,Skechers,Sports,44,2,180.37,0.05,9.02,342.7
I00096,O00042,P0159,Skechers Sandals Pro,Skechers,Sandals,42,2,141.21,0,0.00,282.42
I00097,O00042,P0063,Reebok Formal Classic,Reebok,Formal,41,1,242.1,0,0.00,242.1
I00098,O00042,P0141,Timberland Sandals Pro,Timberland,Sandals,45,1,160.21,0,0.00,160.21
I00099,O00042,P0041,Puma Casual Classic,Puma,Casual,42,2,103.61,0,0.00,207.22
I00100,O00043,P0125,Converse Boots Pro,Converse,Boots,45,3,210.22,0.2,42.04,504.54
I00101,O00043,P0030,Adidas Sports Pro,Adidas,Sports,41,2,169.08,0.2,33.82,270.52
I00102,O00044,P0028,Adidas Sports Classic,Adidas,Sports,42,3,267.44,0.1,26.74,722.1
I00103,O00044,P0176,Clarks Sandals Classic,Clarks,Sandals,43,2,242.24,0.1,24.22,436.04
I00104,O00045,P0163,Clarks Running Classic,Clarks,Running,38,1,291.91,0.1,29.19,262.72
I00105,O00046,P0051,Puma Sandals Classic,Puma,Sandals,40,2,167.23,0.05,8.36,317.74
I00106,O00046,P0053,Puma Boots Classic,Puma,Boots,40,3,181.32,0.05,9.07,516.75
I00107,O00046,P0175,Clarks Sandals Pro,Clarks,Sandals,41,2,232.79,0.05,11.64,442.3
I00108,O00047,P0141,Timberland Sandals Pro,Timberland,Sandals,37,2,160.21,0,0.00,320.42
I00109,O00047,P0014,Nike Sandals Classic,Nike,Sandals,36,2,62.88,0,0.00,125.76
I00110,O00047,P0001,Nike Running Classic,Nike,Running,42,1,128.64,0,0.00,128.64
I00111,O00047,P0144,Timberland Boots Pro,Timberland,Boots,45,3,119.7,0,0.00,359.1
I00112,O00048,P0055,Reebok Running Pro,Reebok,Running,39,1,140.18,0.1,14.02,126.16
I00113,O00048,P0170,Clarks Formal Pro,Clarks,Formal,42,3,135.46,0.1,13.55,365.73
I00114,O00048,P0045,Puma Formal Pro,Puma,Formal,42,2,233.45,0.1,23.35,420.22
I00115,O00048,P0122,Converse Sandals Classic,Converse,Sandals,40,1,181.73,0.1,18.17,163.56
I00116,O00049,P0125,Converse Boots Pro,Converse,Boots,38,2,210.22,0,0.00,420.44
I00117,O00049,P0169,Clarks Formal Classic,Clarks,Formal,38,1,104.37,0,0.00,104.37
I00118,O00050,P0131,Timberland Casual Classic,Timberland,Casual,41,2,161.61,0.05,8.08,307.06
I00119,O00050,P0109,Converse Running Pro,Converse,Running,38,1,197.63,0.05,9.88,187.75
I00120,O00050,P0142,Timberland Boots Classic,Timberland,Boots,45,2,99.37,0.05,4.97,188.8
I00121,O00050,P0116,Converse Formal Pro,Converse,Formal,45,1,48.53,0.05,2.43,46.1
I00122,O00051,P0009,Nike Formal Pro,Nike,Formal,41,2,261.69,0,0.00,523.38
I00123,O00051,P0010,Nike Sports Pro,Nike,Sports,45,1,198.22,0,0.00,198.22
I00124,O00051,P0146,Skechers Running Pro,Skechers,Running,37,2,223.18,0,0.00,446.36
I00125,O00052,P0157,Skechers Sandals Pro,Skechers,Sandals,37,2,256.94,0.1,25.69,462.5
I00126,O00052,P0023,Adidas Casual Classic,Adidas,Casual,44,3,87.26,0.1,8.73,235.59
I00127,O00052,P0063,Reebok Formal Classic,Reebok,Formal,40,3,242.1,0.1,24.21,653.67
I00128,O00053,P0121,Converse Sandals Classic,Converse,Sandals,41,2,174.13,0.1,17.41,313.44
I00129,O00053,P0147,Skechers Running Classic,Skechers,Running,40,2,75.81,0.1,7.58,136.46
I00130,O00053,P0085,New Balance Sandals Classic,New Balance,Sandals,36,1,211.95,0.1,21.20,190.75
I00131,O00054,P0044,Puma Formal Classic,Puma,Formal,40,3,85.9,0.1,8.59,231.93
