order_id,customer_id,order_date,month,quarter,year,order_status,sales_channel,payment_method,discount_pct,subtotal,shipping_cost,order_total,delivery_days
O00001,C0288,12/31/2023,December,Q4,2023,Delivered,Mobile App,Google Pay,0,287.8,0,287.8,12
O00002,C0081,1/19/2022,January,Q1,2022,Delivered,In-Store,PayPal,0,1596.55,0,1596.55,4
O00003,C0078,12/16/2022,December,Q4,2022,Delivered,Online,Apple Pay,0.1,999.5,0,999.5,6
O00004,C0230,7/10/2023,July,Q3,2023,Returned,Mobile App,Google Pay,0.1,583.45,0,583.45,
O00005,C0466,5/19/2022,May,Q2,2022,Delivered,Mobile App,Debit Card,0,861.86,0,861.86,8
O00006,C0382,10/15/2023,October,Q4,2023,Delivered,Mobile App,Credit Card,0,1815.27,0,1815.27,10
O00007,C0119,8/25/2022,August,Q3,2022,Delivered,Online,Apple Pay,0,374.52,0,374.52,12
O00008,C0333,1/18/2023,January,Q1,2023,Delivered,Online,Apple Pay,0,399.54,0,399.54,5
O00009,C0487,2/27/2023,February,Q1,2023,Returned,Mobile App,Credit Card,0,634.98,0,634.98,
O00010,C0219,2/19/2023,February,Q1,2023,Delivered,In-Store,Apple Pay,0.1,204.69,0,204.69,9
O00011,C0329,12/23/2023,December,Q4,2023,Delivered,Online,Apple Pay,0.2,125.26,0,125.26,9
O00012,C0203,2/10/2022,February,Q1,2022,Delivered,Mobile App,PayPal,0.05,902.44,0,902.44,14
O00013,C0331,4/8/2023,April,Q2,2023,Delivered,Mobile App,Google Pay,0.15,160.34,0,160.34,7
O00014,C0166,4/7/2023,April,Q2,2023,Delivered,Online,Google Pay,0.15,230.1,0,230.1,5
O00015,C0166,12/10/2023,December,Q4,2023,Delivered,Online,Credit Card,0.15,826.86,0,826.86,12
O00016,C0406,6/8/2023,June,Q2,2023,Delivered,Mobile App,Apple Pay,0,401.6,0,401.6,3
O00017,C0394,12/31/2023,December,Q4,2023,Delivered,In-Store,PayPal,0.15,236.78,0,236.78,2
O00018,C0461,5/15/2022,May,Q2,2022,Delivered,Mobile App,PayPal,0,441.03,0,441.03,8
O00019,C0122,8/11/2022,August,Q3,2022,Pending,Online,Apple Pay,0,1067.19,0,1067.19,
O00020,C0029,10/31/2023,October,Q4,2023,Delivered,Mobile App,Credit Card,0.15,447.91,0,447.91,3
O00021,C0345,10/19/2022,October,Q4,2022,Pending,Mobile App,PayPal,0,438.48,0,438.48,
O00022,C0389,3/14/2023,March,Q1,2023,Cancelled,Online,Debit Card,0,189.28,0,189.28,
O00023,C0270,2/28/2023,February,Q1,2023,Returned,Mobile App,Credit Card,0,631.25,0,631.25,
O00024,C0479,12/25/2023,December,Q4,2023,Delivered,Mobile App,PayPal,0,921.58,0,921.58,12
O00025,C0324,5/25/2023,May,Q2,2023,Delivered,Mobile App,Debit Card,0.15,1321,0,1321,7
O00026,C0024,12/8/2022,December,Q4,2022,Returned,Online,Debit Card,0.15,745.31,0,745.31,
O00027,C0059,12/4/2023,December,Q4,2023,Delivered,Online,Google Pay,0.1,1137.63,0,1137.63,11
O00028,C0070,5/9/2023,May,Q2,2023,Pending,Mobile App,PayPal,0.05,982.77,0,982.77,
O00029,C0285,7/3/2023,July,Q3,2023,Returned,Mobile App,PayPal,0.2,70.17,4.21,74.38,
O00030,C0016,12/14/2022,December,Q4,2022,Delivered,Mobile App,Google Pay,0.05,1201.59,0,1201.59,4
O00031,C0191,4/8/2023,April,Q2,2023,Returned,Mobile App,PayPal,0,554.22,0,554.22,
O00032,C0464,5/28/2023,May,Q2,2023,Returned,In-Store,Apple Pay,0.15,445.42,0,445.42,
O00033,C0347,5/16/2022,May,Q2,2022,Delivered,Online,Apple Pay,0.15,256.64,0,256.64,14
O00034,C0045,12/8/2022,December,Q4,2022,Delivered,Online,Google Pay,0.2,820.05,0,820.05,6
O00035,C0396,3/28/2023,March,Q1,2023,Cancelled,Mobile App,Debit Card,0,169.08,0,169.08,
O00036,C0287,6/11/2023,June,Q2,2023,Returned,Mobile App,PayPal,0.1,417.44,0,417.44,
O00037,C0483,12/23/2023,December,Q4,2023,Returned,Mobile App,Credit Card,0,1236.56,0,1236.56,
O00038,C0055,1/28/2023,January,Q1,2023,Delivered,Online,Apple Pay,0,392.88,0,392.88,10
O00039,C0183,11/16/2022,November,Q4,2022,Returned,Mobile App,Credit Card,0.2,591.16,0,591.16,
O00040,C0241,8/26/2022,August,Q3,2022,Delivered,Mobile App,PayPal,0,917.97,0,917.97,8
O00041,C0016,3/8/2022,March,Q1,2022,Delivered,In-Store,Apple Pay,0.05,1379.57,0,1379.57,11
O00042,C0037,11/6/2022,November,Q4,2022,Delivered,Mobile App,Apple Pay,0,891.95,0,891.95,10
O00043,C0404,12/17/2022,December,Q4,2022,Delivered,Online,Google Pay,0.2,775.06,0,775.06,9
O00044,C0050,4/1/2023,April,Q2,2023,Cancelled,Online,Credit Card,0.1,1158.14,0,1158.14,
O00045,C0331,11/8/2023,November,Q4,2023,Delivered,Mobile App,Debit Card,0.1,262.72,0,262.72,11
O00046,C0077,4/9/2023,April,Q2,2023,Delivered,Mobile App,Google Pay,0.05,1276.79,0,1276.79,2
O00047,C0299,1/9/2022,January,Q1,2022,Delivered,In-Store,Credit Card,0,933.92,0,933.92,7
